"Indicador","Fuente","País","Año","Valor","Unidad"
"Capacidad instalada por fuente","Solar","América Central","2001","0","MW"
"Capacidad instalada por fuente","Otros","América Central","2001","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2001","396.3","MW"
"Capacidad instalada por fuente","Total","América Central","2001","7600.003","MW"
"Capacidad instalada por fuente","Hidro","América Central","2002","3602.576","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2002","3510.797","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2002","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2002","407.21","MW"
"Capacidad instalada por fuente","Eólica","América Central","2002","19.8","MW"
"Capacidad instalada por fuente","Solar","América Central","2002","0","MW"
"Capacidad instalada por fuente","Otros","América Central","2002","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2002","424.8","MW"
"Capacidad instalada por fuente","Total","América Central","2002","7965.183","MW"
"Capacidad instalada por fuente","Hidro","América Central","2003","3783.386","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2003","3703.542","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2003","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2003","425.21","MW"
"Capacidad instalada por fuente","Eólica","América Central","2003","68.55","MW"
"Capacidad instalada por fuente","Solar","América Central","2003","0","MW"
"Capacidad instalada por fuente","Otros","América Central","2003","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2003","474.5","MW"
"Capacidad instalada por fuente","Total","América Central","2003","8455.188","MW"
"Capacidad instalada por fuente","Hidro","América Central","2004","3881.866","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2004","3852.607","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2004","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2004","418.21","MW"
"Capacidad instalada por fuente","Eólica","América Central","2004","68.55","MW"
"Capacidad instalada por fuente","Solar","América Central","2004","0","MW"
"Capacidad instalada por fuente","Otros","América Central","2004","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2004","558","MW"
"Capacidad instalada por fuente","Total","América Central","2004","8779.233","MW"
"Capacidad instalada por fuente","Hidro","América Central","2005","3934.286","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2005","4171.997","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2005","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2005","428.21","MW"
"Capacidad instalada por fuente","Eólica","América Central","2005","68.55","MW"
"Capacidad instalada por fuente","Solar","América Central","2005","0.48","MW"
"Capacidad instalada por fuente","Otros","América Central","2005","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2005","650.8","MW"
"Capacidad instalada por fuente","Total","América Central","2005","9254.323","MW"
"Capacidad instalada por fuente","Hidro","América Central","2006","4114.507","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2006","4213.795","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2006","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2006","428.21","MW"
"Capacidad instalada por fuente","Eólica","América Central","2006","68.55","MW"
"Capacidad instalada por fuente","Solar","América Central","2006","0.48","MW"
"Capacidad instalada por fuente","Otros","América Central","2006","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2006","655.8","MW"
"Capacidad instalada por fuente","Total","América Central","2006","9481.342","MW"
"Capacidad instalada por fuente","Hidro","América Central","2007","4260.888","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2007","4365.801","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2007","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2007","506.41","MW"
"Capacidad instalada por fuente","Eólica","América Central","2007","69.92","MW"
"Capacidad instalada por fuente","Solar","América Central","2007","0.48","MW"
"Capacidad instalada por fuente","Otros","América Central","2007","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2007","700.751","MW"
"Capacidad instalada por fuente","Total","América Central","2007","9904.25","MW"
"Capacidad instalada por fuente","Hidro","América Central","2008","4303.708","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2008","4882.339","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2008","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2008","506.41","MW"
"Capacidad instalada por fuente","Eólica","América Central","2008","69.92","MW"
"Capacidad instalada por fuente","Solar","América Central","2008","0.48","MW"
"Capacidad instalada por fuente","Otros","América Central","2008","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2008","713.351","MW"
"Capacidad instalada por fuente","Total","América Central","2008","10476.208","MW"
"Capacidad instalada por fuente","Hidro","América Central","2009","4343.089","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2009","5103.149","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2009","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2009","506.41","MW"
"Capacidad instalada por fuente","Eólica","América Central","2009","135.02","MW"
"Capacidad instalada por fuente","Solar","América Central","2009","0.48","MW"
"Capacidad instalada por fuente","Otros","América Central","2009","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2009","737.501","MW"
"Capacidad instalada por fuente","Total","América Central","2009","10825.649","MW"
"Capacidad instalada por fuente","Hidro","América Central","2010","4531.337","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2010","5533.3625","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2010","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2010","506.41","MW"
"Capacidad instalada por fuente","Eólica","América Central","2010","182.62","MW"
"Capacidad instalada por fuente","Solar","América Central","2010","0.48","MW"
"Capacidad instalada por fuente","Otros","América Central","2010","0","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2010","757.501","MW"
"Capacidad instalada por fuente","Total","América Central","2010","11511.7105","MW"
"Capacidad instalada por fuente","Hidro","América Central","2011","5120.727","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2011","5535.7625","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2011","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2011","551.41","MW"
"Capacidad instalada por fuente","Eólica","América Central","2011","297.37","MW"
"Capacidad instalada por fuente","Solar","América Central","2011","1.92","MW"
"Capacidad instalada por fuente","Otros","América Central","2011","6","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2011","801.45","MW"
"Capacidad instalada por fuente","Total","América Central","2011","12314.6395","MW"
"Capacidad instalada por fuente","Hidro","América Central","2012","5352.79","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2012","5242.8195","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2012","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2012","635.16","MW"
"Capacidad instalada por fuente","Eólica","América Central","2012","396.68","MW"
"Capacidad instalada por fuente","Solar","América Central","2012","3.06","MW"
"Capacidad instalada por fuente","Otros","América Central","2012","6","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2012","829.55","MW"
"Capacidad instalada por fuente","Total","América Central","2012","12466.0595","MW"
"Capacidad instalada por fuente","Hidro","América Central","2013","5443.716","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2013","5470.51","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2013","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2013","625.161","MW"
"Capacidad instalada por fuente","Eólica","América Central","2013","416.68","MW"
"Capacidad instalada por fuente","Solar","América Central","2013","7.71","MW"
"Capacidad instalada por fuente","Otros","América Central","2013","6","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2013","1099.7","MW"
"Capacidad instalada por fuente","Total","América Central","2013","13069.477","MW"
"Capacidad instalada por fuente","Hidro","América Central","2014","5720.101","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2014","5558.646","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2014","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2014","625.161","MW"
"Capacidad instalada por fuente","Eólica","América Central","2014","589.66","MW"
"Capacidad instalada por fuente","Solar","América Central","2014","10.26","MW"
"Capacidad instalada por fuente","Otros","América Central","2014","6","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2014","1172.503","MW"
"Capacidad instalada por fuente","Total","América Central","2014","13682.331","MW"
"Capacidad instalada por fuente","Hidro","América Central","2015","6076.674","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2015","5849.396","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2015","0","MW"
"Capacidad instalada por fuente","Geotermia","América Central","2015","625.061","MW"
"Capacidad instalada por fuente","Eólica","América Central","2015","932.06","MW"
"Capacidad instalada por fuente","Solar","América Central","2015","547.21","MW"
"Capacidad instalada por fuente","Otros","América Central","2015","6.85","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","2015","1459.509","MW"
"Capacidad instalada por fuente","Total","América Central","2015","15496.76","MW"
"Capacidad instalada por fuente","Hidro","América Central","2016","6696.963","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","2016","5926.5925","MW"
"Capacidad instalada por fuente","Nuclear","América Central","2016","0","MW"
