Indicador,Fuente,ISO Alfa3,ISO N,Código,País,Año,Valor,Unidad
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2003,"474,5",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2003,"8455,188",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2004,"3881,866",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2004,"3852,607",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2004,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2004,"418,21",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2004,"68,55",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2004,0,MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2004,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2004,558,MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2004,"8779,233",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2005,"3934,286",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2005,"4171,997",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2005,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2005,"428,21",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2005,"68,55",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2005,"0,48",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2005,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2005,"650,8",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2005,"9254,323",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2006,"4114,507",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2006,"4213,795",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2006,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2006,"428,21",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2006,"68,55",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2006,"0,48",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2006,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2006,"655,8",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2006,"9481,342",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2007,"4260,888",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2007,"4365,801",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2007,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2007,"506,41",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2007,"69,92",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2007,"0,48",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2007,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2007,"700,751",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2007,"9904,25",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2008,"4303,708",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2008,"4882,339",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2008,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2008,"506,41",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2008,"69,92",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2008,"0,48",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2008,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2008,"713,351",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2008,"10476,208",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2009,"4343,089",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2009,"5103,149",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2009,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2009,"506,41",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2009,"135,02",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2009,"0,48",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2009,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2009,"737,501",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2009,"10825,649",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2010,"4531,337",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2010,"5533,3625",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2010,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2010,"506,41",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2010,"182,62",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2010,"0,48",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2010,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2010,"757,501",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2010,"11511,7105",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2011,"5120,727",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2011,"5535,7625",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2011,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2011,"551,41",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2011,"297,37",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2011,"1,92",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2011,6,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2011,"801,45",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2011,"12314,6395",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2012,"5352,79",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2012,"5242,8195",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2012,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2012,"635,16",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2012,"396,68",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2012,"3,06",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2012,6,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2012,"829,55",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2012,"12466,0595",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2013,"5443,716",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2013,"5470,51",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2013,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2013,"625,161",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2013,"416,68",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2013,"7,71",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2013,6,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2013,"1099,7",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2013,"13069,477",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2014,"5720,101",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2014,"5558,646",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2014,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2014,"625,161",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2014,"589,66",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2014,"10,26",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2014,6,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2014,"1172,503",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2014,"13682,331",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2015,"6076,674",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2015,"5849,396",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2015,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2015,"625,061",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2015,"932,06",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2015,"547,21",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2015,"6,85",MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2015,"1459,509",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2015,"15496,76",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2016,"6696,963",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2016,"5926,5925",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2016,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2016,"614,56",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2016,"1026,24",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2016,"624,11",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2016,"6,85",MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2016,"1778,609",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2016,"16673,9245",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2017,"7004,652",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2017,"5798,7575",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2017,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2017,"649,56",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2017,"1134,92",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2017,"854,38",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2017,"6,85",MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2017,"1833,309",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2017,"17282,4285",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2018,"7140,074",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2018,"6389,0085",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2018,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2018,"653,56",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2018,"1196,37",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2018,"1014,89",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2018,"6,85",MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2018,"1866,72",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2018,"18267,4725",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2019,"7210,876",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2019,"6290,291",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2019,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2019,"710,5",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2019,"1209,515",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2019,"1288,651",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2019,"6,85",MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2019,"1874,585",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2019,"18591,268",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2020,"7357,295",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2020,"6303,691",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2020,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2020,"707,7",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2020,"1228,115",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2020,"1380,376985",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2020,"6,85",MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2020,"1908,685",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2020,"18892,71299",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América Central,2021,"7346,624",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América Central,2021,"6129,226",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América Central,2021,0,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América Central,2021,"709,68",MW
Capacidad instalada por fuente,Eólica,,,Subregión,América Central,2021,"1242,815",MW
Capacidad instalada por fuente,Solar,,,Subregión,América Central,2021,"1676,93",MW
Capacidad instalada por fuente,Otros,,,Subregión,América Central,2021,"6,3",MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América Central,2021,"1930,615",MW
Capacidad instalada por fuente,Total,,,Subregión,América Central,2021,"19042,19",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América del Sur,2000,"110263,5103",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América del Sur,2000,"45628,29424",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América del Sur,2000,2984,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América del Sur,2000,0,MW
Capacidad instalada por fuente,Eólica,,,Subregión,América del Sur,2000,"33,733133",MW
Capacidad instalada por fuente,Solar,,,Subregión,América del Sur,2000,"0,011",MW
Capacidad instalada por fuente,Otros,,,Subregión,América del Sur,2000,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América del Sur,2000,"1912,681554",MW
Capacidad instalada por fuente,Total,,,Subregión,América del Sur,2000,"160822,2302",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América del Sur,2001,"112188,1723",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América del Sur,2001,"46182,61054",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América del Sur,2001,2984,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América del Sur,2001,0,MW
Capacidad instalada por fuente,Eólica,,,Subregión,América del Sur,2001,"46,708133",MW
Capacidad instalada por fuente,Solar,,,Subregión,América del Sur,2001,"0,011",MW
Capacidad instalada por fuente,Otros,,,Subregión,América del Sur,2001,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América del Sur,2001,"2071,612956",MW
Capacidad instalada por fuente,Total,,,Subregión,América del Sur,2001,"163473,1149",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América del Sur,2002,"113997,0535",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América del Sur,2002,"49748,30598",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América del Sur,2002,3012,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América del Sur,2002,0,MW
Capacidad instalada por fuente,Eólica,,,Subregión,América del Sur,2002,"22,708133",MW
Capacidad instalada por fuente,Solar,,,Subregión,América del Sur,2002,"0,011",MW
Capacidad instalada por fuente,Otros,,,Subregión,América del Sur,2002,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América del Sur,2002,"2483,565114",MW
Capacidad instalada por fuente,Total,,,Subregión,América del Sur,2002,"169263,6437",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América del Sur,2003,"117101,6208",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América del Sur,2003,"51923,52973",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América del Sur,2003,3012,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América del Sur,2003,0,MW
Capacidad instalada por fuente,Eólica,,,Subregión,América del Sur,2003,"22,708133",MW
Capacidad instalada por fuente,Solar,,,Subregión,América del Sur,2003,"0,017096",MW
Capacidad instalada por fuente,Otros,,,Subregión,América del Sur,2003,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América del Sur,2003,"3005,048718",MW
Capacidad instalada por fuente,Total,,,Subregión,América del Sur,2003,"175064,9245",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América del Sur,2004,"120676,6626",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América del Sur,2004,"55540,50648",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América del Sur,2004,3012,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América del Sur,2004,0,MW
Capacidad instalada por fuente,Eólica,,,Subregión,América del Sur,2004,"49,708133",MW
Capacidad instalada por fuente,Solar,,,Subregión,América del Sur,2004,"0,017096",MW
Capacidad instalada por fuente,Otros,,,Subregión,América del Sur,2004,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América del Sur,2004,"3357,04087",MW
Capacidad instalada por fuente,Total,,,Subregión,América del Sur,2004,"182635,9352",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América del Sur,2005,"123637,1916",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América del Sur,2005,"55121,15473",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América del Sur,2005,3012,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América del Sur,2005,0,MW
Capacidad instalada por fuente,Eólica,,,Subregión,América del Sur,2005,"39,708133",MW
Capacidad instalada por fuente,Solar,,,Subregión,América del Sur,2005,"0,056104",MW
Capacidad instalada por fuente,Otros,,,Subregión,América del Sur,2005,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América del Sur,2005,"3501,533921",MW
Capacidad instalada por fuente,Total,,,Subregión,América del Sur,2005,"185311,6445",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América del Sur,2006,"126580,6099",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América del Sur,2006,"56496,04585",MW
Capacidad instalada por fuente,Nuclear,,,Subregión,América del Sur,2006,3012,MW
Capacidad instalada por fuente,Geotermia,,,Subregión,América del Sur,2006,0,MW
Capacidad instalada por fuente,Eólica,,,Subregión,América del Sur,2006,"256,128133",MW
Capacidad instalada por fuente,Solar,,,Subregión,América del Sur,2006,"0,143524",MW
Capacidad instalada por fuente,Otros,,,Subregión,América del Sur,2006,0,MW
Capacidad instalada por fuente,Térmica renovable,,,Subregión,América del Sur,2006,"3878,405201",MW
Capacidad instalada por fuente,Total,,,Subregión,América del Sur,2006,"190223,3326",MW
Capacidad instalada por fuente,Hidro,,,Subregión,América del Sur,2007,"131520,5105",MW
Capacidad instalada por fuente,Térmica no renovable,,,Subregión,América del Sur,2007,"58816,74242",MW
