"Indicador","Fuente"," ISO Alfa3","ISO  N","Codigo","País","Año","Valor","Unidad"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","1999","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","1999","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","1999","","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","1999","","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","1999","5003.9","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2000","15610.410354","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2000","9348.82932077","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2000","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2000","2051.850294","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2000","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2000","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2000","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2000","83.312534","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2000","27094.40250277","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2001","13865.5781","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2001","11806.83307361","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2001","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2001","2293.039277","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2001","0.415156","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2001","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2001","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2001","57.961739","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2001","28023.82734561","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2002","14729.04308358","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2002","12400.893806538","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2002","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2002","2397.2236725925","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2002","59.127272","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2002","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2002","0","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","2002","146.823936","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","2002","29733.111770711","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","2003","14620.35274418","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","2003","12964.27214248","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","2003","0","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","2003","2555.887566","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","2003","230.025876","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","2003","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","2003","0","GWh"
